rat,age,gtyp,sex,stage,variable,value
20241023a,Adult,fa/+,M,empa,excretion_glucose,5.3790000000000004
20241023b,Adult,fa/fa,F,empa,excretion_glucose,12.524000000000001
20241024a,Adult,fa/fa,F,empa,excretion_glucose,8.294
20241025a,Adult,fa/fa,F,empa,excretion_glucose,11.01
20241028a,Adult,fa/fa,M,empa,excretion_glucose,21.056
20241029a,Adult,fa/fa,M,empa,excretion_glucose,2.871
20241029b,Adult,fa/+,F,empa,excretion_glucose,3.66
20241029c,Adult,fa/+,F,empa,excretion_glucose,3.9370000000000003
20241030a,Adult,fa/fa,F,empa,excretion_glucose,14.586000000000002
20241030b,Adult,fa/fa,F,empa,excretion_glucose,12.206
