"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
70,20240815a,fa/+,Young,F,0,Empa,62.61026382446289,-10.047836303710938,52.56242752075195,4.136929223523503,3.9620015588166764,0.1756259631204452,-0.17492766470682675
71,20240815a,fa/+,Young,F,10,Empa,55.73151016235352,-8.734882354736328,46.996627807617195,4.020545699049467,3.8500758503618897,-0.38450405764668893,-0.17046984868757686
72,20240815a,fa/+,Young,F,11,Empa,58.0930061340332,-10.756820678710938,47.336185455322266,4.062045280261504,3.857275023216183,-0.18477508921085486,-0.20477025704532092
73,20240815a,fa/+,Young,F,12,Empa,55.5329475402832,-8.137306213378906,47.3956413269043,4.016976493986778,3.8585302693442975,-0.40168190919329483,-0.1584462246424807
74,20240815a,fa/+,Young,F,13,Empa,57.24184036254883,-10.70656967163086,46.53527069091797,4.0472851058581325,3.8402105345524835,-0.25581277974695354,-0.207074571305649
75,20240815a,fa/+,Young,F,14,Empa,50.35668182373047,-8.266365051269531,42.09031677246094,3.919131317881663,3.7398177088283076,-0.8725906634297982,-0.17931360905335536
76,20240815a,fa/+,Young,F,15,Empa,54.78800201416016,-10.03131866455078,44.75668334960938,4.003471228635372,3.8012407821640966,-0.4666799799763832,-0.20223044647127564
77,20240815a,fa/+,Young,F,16,Empa,51.866607666015625,-8.407123565673828,43.4594841003418,3.9486751855308486,3.771829104080003,-0.7304020909951185,-0.17684608145084546
78,20240815a,fa/+,Young,F,17,Empa,50.290504455566406,-7.306297302246094,42.98420715332031,3.917816281065487,3.760832772727217,-0.8789196657734112,-0.15698350833827002
79,20240815a,fa/+,Young,F,18,Empa,50.9364013671875,-7.605987548828125,43.330413818359375,3.9305778225169496,3.768854786095306,-0.8175009855045986,-0.16172303642164376
80,20240815a,fa/+,Young,F,19,Empa,48.047000885009766,-7.720302581787109,40.326698303222656,3.8721797169232457,3.6970137385174424,-1.098559084121125,-0.17516597840580328
